id,Job_Type,Short,Element,Work_Categories,Work_Sub_Category_Types,Work_Sub_Category_Attributes,Medium
130021,CHIMNEY,REMOVE AND REFIX TV AERIAL OR DISH,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,Chimney:Remove and refix TV Aerial or satellite dish to chimney stack including disconnection and later reconnection and testing (in conjunction with associated chimney works).
146101,SURFACES,REPAIR CRACKS STONEWORK NE 5MM,MASONRY,Stone Repairs,General Surfaces,,"Surfaces:Prepare, clean off all dust and debris, fill in or resurface cracks or spalled surfaces with epoxy mortar in surfaces of stone over 300mm wide, repair ne 5mm deep and remove spoil."
146103,LINTELS/CILLS,REPAIR CRACKS STONEWORK NE 5MM,MASONRY,Stone Repairs,Lintols/Cills,,"Lintels/Cills:Prepare, clean off all dust, debris, fill in or resurface cracks or spalled surfaces of stone with epoxy mortar in surfaces of lintels, cills, ne 300mm girth, repair ne 5mm deep."
146107,SURFACES,REPAIR CRACKS STONEWORK NE 10MM,MASONRY,Stone Repairs,General Surfaces,,"Surfaces:Prepare, clean off all dust and debris, fill in or resurface cracks or spalled surfaces with epoxy mortar in surfaces of stone over 300mm wide, repair over 5 and ne 10mm deep."
146109,LINTELS/CILLS,REPAIR CRACKS STONEWORK NE 10MM,MASONRY,Stone Repairs,Lintols/Cills,,"Lintels/Cills:Prepare, clean off all dust, debris, fill in or resurface cracks or spalled surfaces of stone with epoxy mortar in surfaces of lintels, cills, ne 300mm girth, repair ne 10mm deep."
146113,SURFACES,REPAIR CRACKS STONEWORK NE 15MM,MASONRY,Stone Repairs,General Surfaces,,"Surfaces:Prepare, clean off all dust and debris, fill in or resurface cracks or spalled surfaces with epoxy mortar in surfaces of stone over 300mm wide, repair over 10 and ne 15mm deep."
146115,LINTELS/CILLS,REPAIR CRACKS STONEWORK NE 15MM,MASONRY,Stone Repairs,Lintols/Cills,,"Lintels/Cills:Prepare, clean off all dust, debris, fill in or resurface cracks or spalled surfaces of stone with epoxy mortar in surfaces of lintels, cills, ne 300mm girth, repair over 15mm deep."
198001,CLIENT INSPECTION,BRICKWORK AND STRUCTURE,BRICKWORK,Miscellaenous Works,Brickwork and Structure,Client Inspections,"Client Inspection:Undertake client inspection, testing etc in connection with brickwork or structure, report to Client Representative (any repairs required to be ordered must be instructed by CR)."
201101,ROOF TILE,RENEW CONCRETE INTERLOCKING NE 5 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete Interlocking Roof Tiles to Match Existing,,"Roof Tile:Renew any size and type of concrete interlocking roof tile (in groups ne 5 No.) including remove defective tile, fix new, replace felt and battens if necessary and remove spoil."
201109,ROOF TILE,RENEW CONCRETE INTERLOCKING OVER 5 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete Interlocking Roof Tiles to Match Existing,,Roof Tile:Renew any size and type of concrete interlocking roof tile (in groups over 5 No.) and remove spoil.
201107,ROOF TILE,REMOVE AND REFIX INTERLOCKING NE 5 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete Interlocking Roof Tiles to Match Existing,,Roof Tile:Remove and refix loose concrete interlocking tiles (in groups ne 5 No.).
201109,ROOF TILE,REMOVE REFIX INTERLOCKING OVER 5 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete Interlocking Roof Tiles to Match Existing,,Roof Tile:Remove and refix loose concrete interlocking tile (in groups over 5 No.).
201113,ROOF TILE,OVERHAUL INTERLOCKING ROOF COMPLETE,ROOFING,Clay/Concrete Roof Tiling,Concrete Interlocking Roof Tiles to Match Existing,,"Roof Tile:Overhaul interlocking tile roof, refix loose tiles, renew tiles to match existing, redress, rewedge, repoint all flashings, aprons, gutters etc, renew fillets, repoint ridges."
201150,ROOF COVERING,EXTRA TO RENEW FELT AND BATTENS,ROOFING,Clay/Concrete Roof Tiling,Concrete Interlocking Roof Tiles to Match Existing,,Roof Covering:Extra over any renewal or refixing of roof tiles or slates for renew roofing felt and battens.
201301,ROOF TILE,RENEW PLAIN CONCRETE OR CLAY NE 10 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,"Roof Tile:Renew any plain concrete or clay roof tile (in groups ne 10 No.) including remove defective tile and fix new, replace felt and battens if necessary and remove spoil."
201303,ROOF TILE,RENEW PLAIN CONCRETE OR CLAY OVER 10 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,Roof Tile:Renew any plain concrete or clay roof tiles (in groups over 10 No.) and remove spoil.
201307,ROOF TILE,REMOVE AND REFIX PLAIN NE 10 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,Roof Tile:Remove and refix loose plain concrete or clay roof tile (in groups ne 10 No.).
201309,ROOF TILE,REMOVE AND REFIX PLAIN OVER 10 NO,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,Roof Tile:Remove and refix loose plain concrete or clay roof tiles (in groups over 10 No.).
201313,ROOF TILE,OVERHAUL PLAIN TILE ROOF COMPLETE,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,"Roof Tile:Overhaul plain tile roof, refix loose tiles, renew tiles to match existing, redress, rewedge, repoint all flashings, aprons, gutters etc, renew fillets, repoint ridges."
201501,VERGE,RAKE OUT AND REPOINT IN MORTAR,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,Verge:Rake out and repoint verge tiles with coloured mortar (1:3) to match existing.
201503,VERGE,RENEW TILE VERGE,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,"Verge:Renew verge and undercloak to tiles bed, point in coloured mortar (1:3) including all cutting of tiles and refix or renew stainless steel verge clips, remove spoil."
201505,VERGE,REMOVE AND REFIX TILE,ROOFING,Clay/Concrete Roof Tiling,Concrete or Clay Plain Tiles to Match Existing,,Verge:Remove and refix loose verge tiles bedded and pointed in coloured mortar (1:3) including refix or renew stainless steel verge clips as necessary.
201703,RIDGE,RENEW BEDDED TILE,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,Ridge:Renew half round or angled ridge or hip tiles edge bedded onto roofing tiles with solid bedding at butt joints in coloured mortar (1:3) and remove spoil.
201711,RIDGE,RENEW MONO-PITCH TILES,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,Ridge:Renew angled monopitch ridge or hip tiles edge bedded onto roofing tiles and with solid bedding at butt joints and mechanically fixed through tile to timber battens and remove spoil.
201715,RIDGE,REMOVE AND REFIX TILES,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,Ridge:Remove and refix any loose ridge or hip tiles edge bedded onto roof tiles and with solid bedding at butt joints in coloured mortar (1:3) and mechanically fixed where necessary.
201717,RIDGE,RAKE OUT AND REPOINT TILES,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,"Ridge:Rake out and repoint ridge, hip or valley tiles with coloured mortar (1:3)."
201719,RIDGE,RENEW ANY TYPE GAS FLUE TERMINAL TILE,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,"Ridge:Renew any type of gas flue ridge terminal, remove existing, fix new with edges bedded onto roof tiles and with solid bedding at butt joint in coloured mortar (1:3) and remove spoil."
201725,HIP,RENEW BONNET HIP TILES,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,"Hip:Renew bonnet hip tile nailed to hip rafters with 65mm aluminium alloy nails and with mortar bedding (1:3) under each bonnet tile, struck off smoothly at lower edges of hip tile, remove spoil."
201727,HIP,RENEW GALVANISED HIP IRON,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,"Hip:Renew galvanised hip iron including remove, rebed and repoint isolated hip tile."
201731,VALLEY,RENEW VALLEY TILES,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,"Valley:Renew any type of valley tile including remove existing tile, lay new tile to bond with existing roof tiles including take up and relay adjacent tiles as necessary and remove spoil."
201735,VALLEY,RENEW TROUGH VALLEY TILES,ROOFING,Clay/Concrete Roof Tiling,"Concrete or Clay Bedded Ridges, Hips and Valley Tiles",,"Valley:Renew any type of trough valley tile incl. remove existing tile, lay new tile, renew battens, remove, refix tiles, felt etc., to either sides of valley, remake mortar bedding and remove spoil."
203101,SLATE,RENEW FIBRE CEMENT NE 5 NO,ROOFING,Slate Roofing,Fibre Cement Slating,,"Slate:Renew fibre cement slate to roof, take out defective slate, fix new with copper nails and disc rivet, renew defective battens and felt as necessary and remove spoil (in group ne 5 No.)."
203103,SLATE,RENEW FIBRE CEMENT OVER 5 NO,ROOFING,Slate Roofing,Fibre Cement Slating,,Slate:Renew fibre cement slates to roof including remove existing and fix new with copper nails and disc rivet and remove spoil (in group over 5 No.).
203107,SLATE,REFIX FIBRE CEMENT NE 5 NO,ROOFING,Slate Roofing,Fibre Cement Slating,,Slate:Remove and refix loose slate including fixing with new copper nails and disc rivet and renew defective felt and battens as necessary (in group ne 5 No.).
203109,SLATE,REFIX FIBRE CEMENT OVER 5 NO,ROOFING,Slate Roofing,Fibre Cement Slating,,Slate:Remove and refix loose slates including fixing with copper nails and disc rivet (in group over 5 No.).
203301,SLATE,RENEW NATURAL SLATE NE 5 NO,ROOFING,Slate Roofing,Natural Slating,,Slate:Renew any size natural slate to roof fixed with clips or copper nails including renewing defective felt and battens as necessary and remove spoil (in group ne 5 No.).
203303,SLATE,RENEW NATURAL SLATES OVER 5 NO,ROOFING,Slate Roofing,Natural Slating,,Slate:Renew any size natural slates to roof fixed with clips or copper nails and remove spoil (in group over 5 No.).
203307,SLATE,REFIX NATURAL SLATES NE 5 NO,ROOFING,Slate Roofing,Natural Slating,,Slate:Remove and refix any size loose natural slate fixed with clips or copper nails including renewing defective roofing felt and battens as necessary (in group ne 5 No.).
203309,SLATE,REFIX NATURAL SLATES OVER 5 NO,ROOFING,Slate Roofing,Natural Slating,,Slate:Remove and refix any size loose natural slates fixed with clips or copper nails (in group over 5 No.).
203503,RIDGE,RENEW HALF ROUND OR ROLL TOP TILE TO SLATING,ROOFING,Slate Roofing,Fibre Cement Slating,"Ridge, Verge and Hips Tiles","Ridge:Renew half round or roll top ridge or hip tile fixed with galvanised steel clips and roofing screws with plastic washers including bed in mastic as per manufacturers instructions, remove spoil."
203511,RIDGE,RENEW MONO OR DUO-PITCH TILE TO SLATING,ROOFING,Slate Roofing,Fibre Cement Slating,"Ridge, Verge and Hips Tiles",Ridge:Renew mono or duo-pitch ridge or hip tile fixed with roofing screws with plastic washers including bedding in mastic as per manufacturers instructions and remove spoil.
203517,RIDGE,RENEW GAS VENTILATION TO SLATING,ROOFING,Slate Roofing,Fibre Cement Slating,"Ridge, Verge and Hips Tiles","Ridge:Renew duo-pitch gas ventilation ridge, fixed with roofing screws with plastic washers including bedding in mastic as per manufacturers instructions and remove spoil."
203519,VERGE,RAKE OUT AND REPOINT IN MORTAR TO SLATING,ROOFING,Slate Roofing,Fibre Cement Slating,"Ridge, Verge and Hips Tiles",Verge:Rake out and repoint verge tiles to slate roof with coloured mortar (1:3) to match existing.
205001,TILE,RENEW HANGING TILE NE 10 NO,ROOFING,Vertical Coverings,Vertical Tile Hanging,,"Tile:Renew any plain concrete or clay hanging tile (in group ne 10 No.) including remove defective tile and fix new, and remove spoil."
205003,TILE,RENEW HANGING TILES OVER 10 NO,ROOFING,Vertical Coverings,Vertical Tile Hanging,,Tile:Renew any plain concrete or clay hanging tiles (in group over 10 No.) and remove spoil.
205006,VERTICAL COVERING,EXTRA TO RENEW FELT AND BATTENS,ROOFING,Vertical Coverings,Vertical Tile Hanging,,Vertical Covering:Extra over any renewal or refixing of roof tiles or slates for renew roofing felt and battens.
205007,TILE,REFIX HANGING NE 10 NO,ROOFING,Vertical Coverings,Vertical Tile Hanging,,Tile:Remove and refix loose plain concrete or clay hanging tiles (in group ne 10 No.).
205009,TILE,REFIX HANGING OVER 10 NO,ROOFING,Vertical Coverings,Vertical Tile Hanging,,Tile:Remove and refix loose plain concrete or clay hanging tiles (in group over 10 No.).
205013,TILE,RENEW FEATURE TILE HANGING,ROOFING,Vertical Coverings,Vertical Tile Hanging,,"Tile:Renew any pattern or feature tile to tile hanging including remove defective tile and fix new, and remove spoil."
205015,TILE,RENEW ANGLE HANGING TILE,ROOFING,Vertical Coverings,Vertical Tile Hanging,,"Tile:Renew internal or external angle tile to tile hanging including remove tiles for access, remove defective tile, fix new, reinstate tile hanging, and remove spoil."
207001,SLATE,RENEW HANGING SLATE NE 5 NO,ROOFING,Vertical Coverings,Vertical Fibre Cement Slating,,"Slate:Renew fibre cement hanging slate including take out defective slate, fix new, renew defective battens, felt as necessary, remove spoil (in group ne 5 No.)."
207003,SLATE,RENEW HANGING SLATES OVER 5 NO,ROOFING,Vertical Coverings,Vertical Fibre Cement Slating,,Slate:Renew fibre cement hanging slates including remove existing and fix new with copper nails and disc rivet or clips and remove spoil (in group over 5 No.).
207007,SLATE,REFIX HANGING SLATE NE 5 NO,ROOFING,Vertical Coverings,Vertical Fibre Cement Slating,,"Slate:Remove and refix loose hanging slate incl. fixing with new copper nails and disc rivet or clips, renew defective felt and battens as necessary (in group ne 5 No.)."
207009,SLATE,REFIX HANGING SLATE OVER 5 NO,ROOFING,Vertical Coverings,Vertical Fibre Cement Slating,,Slate:Remove and refix loose hanging slates incl. fixing with copper nails and disc rivet or clips (in group over 5 No.).
209001,VERGE,RENEW DRY OR CLOAKED VERGE COMPLETE,ROOFING,Clay/Concrete Roof Tiling,"Dry Verge, Ridge and Hip Tiles",,"Verge:Renew dry or cloaked verge complete, remove/refix tiles as necessary, remove existing, fix new dry or cloaked verge and half tile, end stops, jointing pieces, ridge end units, make good."
209003,VERGE,REFIX DRY OR CLOAKED VERGE COMPLETE,ROOFING,Clay/Concrete Roof Tiling,"Dry Verge, Ridge and Hip Tiles",,"Verge:Refix dry verge complete, remove/refix tiles as necessary, remove existing and refix dry verge or cloaked verge and half tile including end stops, jointing pieces, ridge end units, make good."
209005,VERGE,RENEW OR REFIX DRY VERGE RIDGE OR END STOP,ROOFING,Clay/Concrete Roof Tiling,"Dry Verge, Ridge and Hip Tiles",,Verge:Renew or refix dry verge ridge end or end stop.
209015,RIDGE,RENEW DRY RIDGE TILES,ROOFING,Clay/Concrete Roof Tiling,"Dry Verge, Ridge and Hip Tiles",,"Ridge:Renew any type of dry ridge tile including remove existing, renew filler units, fix new dry ridge tile to ridge board, ridge to ridge sealing pieces and blocked end ridge tiles, remove spoil."
209017,RIDGE,RENEW DRY RIDGE GAS FLUE TERMINAL,ROOFING,Clay/Concrete Roof Tiling,"Dry Verge, Ridge and Hip Tiles",,Ridge:Renew Gas flue ridge terminal to any dry ridge system including remove existing and fix new with stainless steel nails with neoprene washers to ridge including renew profile filler units.
210001,GREEN ROOF,ANNUAL MAINTENANCE - SEDUMS,ROOFING,Green Rooing,Maintenance,,"Green Roof:Undertake annual maintenance to green sedum roof , overhaul, remove litter, deweed and replant as necessary, check water retention, water if necessary, remove debris and waste."
210003,GREEN ROOF,ANNUAL MAINTENANCE – SEDUMS ROCK PLANTS,ROOFING,Green Rooing,Maintenance,,"Green Roof:Undertake annual maintenance to sedum and rock plant green roof, overhaul, remove litter, deweed, replant as necessary, check water retention, water if necessary, remove debris and waste."
210101,GREEN ROOF,WATER IN PERIODS OF DROUGHT,ROOFING,Green Rooing,Maintenance,,"Green Roof:Undertake when instructed in periods of drought, watering to any type of green roof and check water retention, remove any litter, debris and waste."
211001,VENT,RENEW VENT ROOF TILE UNIT,ROOFING,Clay/Concrete Roof Tiling,Roof Ventilation,,"Vent:Renew or supply and fix new ventilation roof tile unit complete to match existing roof tiles or slates including remove, refix adjacent tiles as necessary."
211003,RIDGE,RENEW WITH HALF ROUND OR ANGLE VENT TILE,ROOFING,Clay/Concrete Roof Tiling,Roof Ventilation,,"Ridge:Remove half round or angle ridge tile and renew with ventilator ridge tile, edge bedded onto roof tiles and with solid bedding at butt joints in coloured mortar (1:3) andremove spoil."
211009,RIDGE,RENEW DRY VENT TILES,ROOFING,Clay/Concrete Roof Tiling,Roof Ventilation,,"Ridge:Renew any type of dry vent ridge tile including remove existing, renew filler units/air flow control units, fix new dry vent ridge tile system complete and remove spoil."
211011,VENT,RENEW EAVES VENTILATORS,ROOFING,Clay/Concrete Roof Tiling,Roof Ventilation,,"Vent:Renew or supply and fix new eaves ventilators complete including remove and refix tiles and underlay as necessary, and fix in accordance with manufacturers instructions and remove spoil."
213001,SHEETING,RENEW GALVANISED CORRUGATED IRON,ROOFING,Sheet Roofing,Sheet Roof Coverings,,Sheeting:Renew 24 gauge galvanised corrugated iron sheeting fixed with hook bolts or drive screws complete with caps and washers and remove spoil.
213003,SHEETING,RENEW CORRUGATED REINFORCED CEMENT,ROOFING,Sheet Roofing,Sheet Roof Coverings,,Sheeting:Renew corrugated reinforced asbestos free cement sheeting fixed with hook bolts or drive screws complete with caps and washers and remove spoil.
213005,SHEETING,RENEW CLEAR PLASTIC,ROOFING,Sheet Roofing,Sheet Roof Coverings,,Sheeting:Renew clear plastic corrugated sheeting fixed with hook bolts or drive screws complete with caps and washers and remove spoil.
213007,SHEETING,RENEW COLOURED PLASTIC,ROOFING,Sheet Roofing,Sheet Roof Coverings,,Sheeting:Renew coloured plastic corrugated sheeting fixed with hook bolts or drive screws complete with caps and washers and remove spoil.
